term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0000003,"reproduction",0.769%, 0.141,-0.162,4.994,-2.2935,1.000,0.000,3,0
GO:0008152,"metabolic process",75.387%, 0.157,-0.331,6.986,-6.4202,0.998,0.000,8152,0
GO:0008380,"RNA splicing",0.413%, 0.212,-3.431,4.725,-18.3575,0.876,0.000,8380,0
GO:0009629,"response to gravity",0.006%,-2.518, 3.220,2.909,-1.2003,0.951,0.000,9629,0
GO:0040011,"locomotion",0.997%, 0.154,-0.228,5.107,-3.4377,0.994,0.000,40011,0
GO:0051028,"mRNA transport",0.075%,-1.478, 5.315,3.986,-8.6144,0.847,0.000,51028,0
GO:1904874,"positive regulation of telomerase RNA localization to Cajal body",0.004%,null,null,2.674,-2.2474,0.781,0.774,51028,1
GO:0006409,"tRNA export from nucleus",0.005%,null,null,2.768,-1.0853,0.784,0.803,51028,1
GO:0006405,"RNA export from nucleus",0.071%,null,null,3.962,-3.7696,0.811,0.957,51028,1
GO:0006406,"mRNA export from nucleus",0.056%,null,null,3.856,-4.6383,0.771,0.941,51028,1
GO:0098609,"cell-cell adhesion",0.251%,-0.428,-0.405,4.507,-14.8665,0.949,0.000,98609,0
GO:0007409,"axonogenesis",0.118%,null,null,4.179,-2.0012,0.631,0.817,98609,1
GO:0007411,"axon guidance",0.066%,null,null,3.930,-1.3493,0.579,0.945,98609,1
GO:0016337,"single organismal cell-cell adhesion",0.148%,null,null,4.280,-1.0839,0.881,0.949,98609,1
GO:0016358,"dendrite development",0.049%,null,null,3.800,-1.1764,0.653,0.850,98609,1
GO:1900026,"positive regulation of substrate adhesion-dependent cell spreading",0.006%,null,null,2.894,-1.1909,0.616,0.782,98609,1
GO:0034446,"substrate adhesion-dependent cell spreading",0.018%,null,null,3.372,-2.8107,0.669,0.711,98609,1
GO:0007159,"leukocyte cell-cell adhesion",0.090%,null,null,4.061,-1.2465,0.884,0.822,98609,1
GO:0007155,"cell adhesion",0.544%,null,null,4.844,-2.5383,0.946,0.924,98609,1
GO:0048813,"dendrite morphogenesis",0.034%,null,null,3.645,-1.3614,0.656,0.884,98609,1
GO:0048812,"neuron projection morphogenesis",0.164%,null,null,4.323,-1.1079,0.626,0.970,98609,1
GO:0031589,"cell-substrate adhesion",0.078%,null,null,3.998,-1.2113,0.952,0.789,98609,1
GO:0070527,"platelet aggregation",0.011%,null,null,3.143,-2.0088,0.694,0.724,98609,1
GO:0006807,"nitrogen compound metabolic process",38.744%, 0.285,-0.622,6.696,-1.0626,0.985,0.022,6807,0
GO:0061077,"chaperone-mediated protein folding",0.043%,-0.097,-0.549,3.743,-2.8100,0.957,0.025,61077,0
GO:0016032,"viral process",0.131%, 0.284,-1.302,4.226,-3.3179,0.920,0.027,16032,0
GO:0075733,"intracellular transport of virus",0.006%,null,null,2.903,-1.6821,0.809,0.781,16032,1
GO:1902188,"positive regulation of viral release from host cell",0.003%,null,null,2.594,-1.6790,0.811,0.882,16032,1
GO:0075522,"IRES-dependent viral translational initiation",0.002%,null,null,2.307,-1.2003,0.859,0.875,16032,1
GO:0039702,"viral budding via host ESCRT complex",0.003%,null,null,2.614,-1.7388,0.709,0.751,16032,1
GO:0045070,"positive regulation of viral genome replication",0.007%,null,null,2.943,-2.0088,0.833,0.786,16032,1
GO:0019083,"viral transcription",0.012%,null,null,3.203,-2.9831,0.867,0.816,16032,1
GO:0007018,"microtubule-based movement",0.287%, 2.477,-2.814,4.567,-7.8996,0.775,0.029,7018,0
GO:0003341,"cilium movement",0.023%,null,null,3.467,-4.5591,0.803,0.701,7018,1
GO:0016477,"cell migration",0.293%,null,null,4.575,-2.0836,0.744,0.785,7018,1
GO:0006457,"protein folding",0.903%, 0.041,-0.021,5.064,-13.5143,0.957,0.032,6457,0
GO:0002119,"nematode larval development",0.015%, 1.354, 1.298,3.295,-3.3585,0.836,0.056,2119,0
GO:0005975,"carbohydrate metabolic process",5.260%, 0.095,-0.033,5.829,-2.8608,0.962,0.068,5975,0
GO:0010388,"cullin deneddylation",0.000%, 0.100,-2.442,1.580,-1.7388,0.936,0.077,10388,0
GO:0045197,"establishment or maintenance of epithelial cell apical/basal polarity",0.008%, 0.313,-2.366,3.035,-2.6060,0.877,0.123,45197,0
GO:0000281,"mitotic cytokinesis",0.070%, 1.981,-4.146,3.953,-2.1301,0.858,0.143,281,0
GO:0007163,"establishment or maintenance of cell polarity",0.099%, 1.433,-3.612,4.102,-1.3110,0.858,0.146,7163,0
GO:0097120,"receptor localization to synapse",0.004%,-1.203, 4.748,2.730,-4.0570,0.870,0.159,97120,0
GO:0043113,"receptor clustering",0.010%,null,null,3.103,-1.0644,0.660,0.867,97120,1
GO:1901998,"toxin transport",0.008%,-1.406, 4.090,3.026,-5.1798,0.923,0.172,1901998,0
