"","x"
"1","P14533"
"2","P52735"
"3","Q32TF8"
"4","P01023"
"5","Q99JI4"
"6","Q5ZIN1"
"7","Q7ZX96"
"8","Q11011"
"9","Q86XW9"
"10","Q9BXJ9"
"11","P0C6F1"
"12","Q5RB68"
"13","Q54TR1"
"14","Q08093"
"15","P86700"
"16","P58375"
"17","Q5TCS8"
"18","Q6Q759"
"19","Q29551"
"20","Q9SZ53"
"21","Q9GLK0"
"22","P20072"
"23","Q8WXX0"
"24","P35505"
"25","Q2NL57"
"26","P27639"
"27","P61210"
"28","Q5BKN4"
"29","Q4R4Q3"
"30","P26038"
"31","P70076"
"32","P86231"
"33","P54100"
"34","Q8VDJ3"
"35","Q6YHK3"
"36","Q55DV9"
"37","B2LU20"
"38","Q6EE31"
"39","P07602"
"40","Q93YS2"
"41","Q94521"
"42","Q9NFT7"
"43","O88600"
"44","O16098"
"45","Q96MM6"
"46","Q63170"
"47","P34077"
"48","Q1KME6"
"49","Q13637"
"50","Q4G0X9"
"51","Q86YJ7"
"52","Q0Z8U2"
"53","Q6DBT3"
"54","Q3SZ85"
"55","O35274"
"56","P49596"
"57","O70310"
"58","Q6PD24"
"59","P34416"
"60","A0R5M8"
"61","Q2T9W6"
"62","Q8BH74"
"63","Q502M6"
"64","P25782"
"65","Q6RWA9"
"66","Q9C0G6"
"67","Q5R481"
"68","O01666"
"69","P13541"
"70","P47967"
"71","Q8K4K5"
"72","Q5F471"
"73","Q5R931"
"74","Q6DG99"
"75","Q9UKM7"
"76","O00909"
"77","P97429"
"78","Q5U3A7"
"79","P07909"
"80","Q8TBY9"
"81","Q9N181"
"82","Q92616"
"83","Q8T773"
"84","Q86VQ6"
"85","Q96MU7"
"86","O42287"
"87","Q04451"
"88","O02485"
"89","Q9CUL5"
"90","Q8TCU6"
"91","Q17QN3"
"92","Q75J93"
"93","P49824"
"94","P69527"
"95","Q9NGQ2"
"96","Q852M1"
"97","Q9D9T8"
"98","Q64319"
"99","P23098"
"100","Q54S59"
"101","P46778"
"102","Q5RJY4"
"103","C5BD16"
"104","P51644"
"105","Q9W4V8"
"106","Q96RF0"
"107","Q13588"
"108","O57592"
"109","Q9CZJ2"
"110","Q0MQE6"
"111","Q58DW2"
"112","Q3SZH7"
"113","P55859"
"114","P30337"
"115","Q96M86"
"116","Q9BQG0"
"117","P80928"
"118","Q95NN1"
"119","Q26065"
"120","P29147"
"121","G5E8K5"
