Round,Site,Patch,Both,Exclosure,Live,Survival
1,CI,B,CI-B,4,4,0.80 
1,CI,B,CI-B,5,5,1.00 
1,CI,B,CI-B,6,0,0.00 
1,CI,E,CI-E,1,1,0.20 
1,CI,E,CI-E,2,4,0.80 
1,CI,E,CI-E,3,5,1.00 
1,FB,B,FB-B,4,3,0.60 
1,FB,B,FB-B,5,4,0.80 
1,FB,B,FB-B,6,5,1.00 
1,FB,E,FB-E,1,5,1.00 
1,FB,E,FB-E,2,5,1.00 
1,FB,E,FB-E,3,3,0.60 
1,PG,B,PG-B,4,5,1.00 
1,PG,B,PG-B,5,4,0.80 
1,PG,B,PG-B,6,5,1.00 
1,PG,E,PG-E,1,3,0.60 
1,PG,E,PG-E,2,4,0.80 
1,PG,E,PG-E,3,5,1.00 
1,WB,B,WB-B,4,5,1.00 
1,WB,B,WB-B,5,5,1.00 
1,WB,B,WB-B,6,5,1.00 
1,WB,E,WB-E,1,4,0.80 
1,WB,E,WB-E,2,5,1.00 
1,WB,E,WB-E,3,5,1.00 
