"","Protein","Group","ANOSIM.R","ANOSIM.P"
"1","Arachidonate","Site",0.00554696301388174,0.359320339830085
"2","Catalase","Site",-0.0349907391495293,0.882058970514743
"3","Cytochrome","Site",-0.0207175727024499,0.722138930534733
"4","Glycogen","Site",-0.021987359416471,0.71864067966017
"5","HSP70","Site",0.156193313093124,0.000499750124937531
"6","HSP90","Site",0.0795191995570067,0.0179910044977511
"7","Peroxiredoxin","Site",0.0216436577495177,0.214392803598201
"8","PDI","Site",0.0934773061427125,0.0124937531234383
"9","Puromycin","Site",-0.00362796204006029,0.485257371314343
"10","Rab.11B","Site",-0.0272765461801379,0.802598700649675
"11","NAK","Site",-0.0156957094575241,0.63968015992004
"12","Superoxide","Site",-0.0465238395295105,0.969015492253873
"13","Trifunctional","Site",0.0507246376811593,0.0904547726136932
"14","Arachidonate","Treatment",-0.029821100791759,0.960519740129935
"15","Catalase","Treatment",-0.0164584531930633,0.667166416791604
"16","Cytochrome","Treatment",-0.0132325141776938,0.629185407296352
"17","Glycogen","Treatment",-0.00167118709076473,0.40279860069965
"18","HSP70","Treatment",-0.0274581518314565,0.943528235882059
"19","HSP90","Treatment",-0.0291019424125367,0.940029985007496
"20","Peroxiredoxin","Treatment",-0.0219172077477329,0.815092453773113
"21","PDI","Treatment",-0.021013122928139,0.775612193903048
"22","Puromycin","Treatment",-0.0305402591709815,0.982008995502249
"23","Rab.11B","Treatment",-0.0148146626119833,0.64167916041979
"24","NAK","Treatment",-0.0270472041861867,0.921539230384808
"25","Superoxide","Treatment",-0.00380126571874747,0.408795602198901
"26","Trifunctional","Treatment",-0.0293690583819621,0.952523738130934
"27","Arachidonate","Region",0.00554696301388174,0.379310344827586
"28","Catalase","Region",-0.0349907391495293,0.87456271864068
"29","Cytochrome","Region",-0.0207175727024499,0.731134432783608
"30","Glycogen","Region",-0.021987359416471,0.719140429785107
"31","HSP70","Region",0.156193313093124,0.000999500249875062
"32","HSP90","Region",0.0795191995570067,0.0134932533733133
"33","Peroxiredoxin","Region",0.0216436577495177,0.2063968015992
"34","PDI","Region",0.0934773061427125,0.0164917541229385
"35","Puromycin","Region",-0.00362796204006029,0.486256871564218
"36","Rab.11B","Region",-0.0272765461801379,0.7936031984008
"37","NAK","Region",-0.0156957094575241,0.597701149425287
"38","Superoxide","Region",-0.0465238395295105,0.962518740629685
"39","Trifunctional","Region",0.0507246376811593,0.0879560219890055
